timestamp,temperature,salinity,pH,turbidity,wqi,risk,recommendation
2026-07-14 11:43:27,11.251850128173828,17.764320373535156,7.8086748123168945,5.780499458312988,70.09,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 11:58:27,11.259331703186035,17.430461883544922,7.803609371185303,5.668050289154053,69.94,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 12:13:27,11.301322937011719,17.182832717895508,7.800921440124512,5.559508323669434,69.88,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 12:28:27,11.31922721862793,17.441509246826172,7.810580730438232,5.509430408477783,70.14,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 12:43:27,11.34114933013916,17.49026107788086,7.808953762054443,5.584097385406494,70.14,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 12:58:27,11.38572883605957,17.31744384765625,7.80864953994751,5.597947120666504,70.07,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 13:13:27,11.401359558105469,17.57390785217285,7.819944381713867,5.525139331817627,70.35,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 13:28:27,11.404646873474121,17.824399948120117,7.822976112365723,5.528994560241699,70.52,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 13:43:27,11.445716857910156,17.818952560424805,7.823178291320801,5.530738830566406,70.56,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 13:58:27,11.471208572387695,18.097257614135742,7.834579944610596,5.451797008514404,70.87,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 14:13:27,11.462966918945312,18.4898681640625,7.8424272537231445,5.421650409698486,71.16,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 14:28:27,11.486469268798828,18.64203643798828,7.844546318054199,5.421743869781494,71.29,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 14:43:27,11.518575668334961,18.934831619262695,7.8549933433532715,5.350678443908691,71.6,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 14:58:27,11.512081146240234,19.403240203857422,7.865522861480713,5.293552875518799,71.97,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 15:13:27,11.5186767578125,19.691404342651367,7.8694610595703125,5.2857818603515625,72.18,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 15:28:27,11.549028396606445,19.998132705688477,7.878322601318359,5.232394218444824,72.48,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 15:43:27,11.54851245880127,20.480276107788086,7.8896355628967285,5.164819240570068,72.88,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 15:58:27,11.54325008392334,20.854646682739258,7.894953727722168,5.145608425140381,73.14,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 16:13:27,11.566201210021973,21.166955947875977,7.902014255523682,5.108851432800293,73.41,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 16:28:27,11.572023391723633,21.612293243408203,7.9124956130981445,5.04378604888916,73.79,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 16:43:27,11.561186790466309,22.014001846313477,7.918469429016113,5.014942646026611,74.07,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 16:58:27,11.574387550354004,22.319074630737305,7.923837184906006,4.990657329559326,74.31,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 17:13:27,11.584646224975586,22.70026969909668,7.932548999786377,4.936645030975342,74.64,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 17:28:27,11.573895454406738,23.07895851135254,7.938464641571045,4.9019365310668945,74.91,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 17:43:27,11.578422546386719,23.35975456237793,7.942383289337158,4.884523868560791,75.12,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 17:58:27,11.590864181518555,23.665380477905273,7.948915004730225,4.844280242919922,75.38,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 18:13:27,11.584224700927734,23.99072265625,7.954237461090088,4.808828830718994,75.62,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 18:28:27,11.583136558532715,24.23652458190918,7.957030296325684,4.793879985809326,75.79,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 18:43:27,11.595702171325684,24.4716796875,7.96145486831665,4.7662553787231445,75.99,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 18:58:27,11.595023155212402,24.733016967773438,7.965847015380859,4.733275413513184,76.19,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 19:13:27,11.591888427734375,24.941438674926758,7.967861652374268,4.718247413635254,76.33,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 19:28:27,11.603128433227539,25.119815826416016,7.970525741577148,4.699584484100342,76.48,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 19:43:27,11.608266830444336,25.32091522216797,7.973865032196045,4.671116828918457,76.64,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 19:58:27,11.60606861114502,25.49432373046875,7.975366115570068,4.654672622680664,76.76,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
2026-07-14 20:13:27,11.615344047546387,25.63204574584961,7.976736545562744,4.641139030456543,76.87,Sedang,"Waspada, lakukan pengecekan parameter secara berkala."
